x,y,s,kappa
-0.6999,5.0475,24.9577,-0.64562
-0.6012,5.0327,25.0575,-0.66929
-0.5037,5.0113,25.1574,-0.67523
-0.4079,4.9834,25.2572,-0.68337
-0.3142,4.949,25.357,-0.69164
-0.2231,4.9082,25.4567,-0.67668
-0.135,4.8614,25.5565,-0.64536
-0.0501,4.809,25.6563,-0.60706
0.0316,4.7516,25.7561,-0.57576
0.1097,4.6895,25.8559,-0.55975
0.1843,4.6232,25.9557,-0.54661
0.2552,4.5529,26.0555,-0.54436
0.3222,4.4789,26.1554,-0.55367
0.3849,4.4012,26.2552,-0.62289
0.4428,4.3198,26.3551,-0.58617
0.4957,4.2352,26.4549,-0.60143
0.5435,4.1476,26.5547,-0.60897
0.5859,4.0572,26.6545,-0.60995
0.6227,3.9644,26.7543,-0.59767
0.6538,3.8696,26.8541,-0.57861
0.6795,3.7731,26.954,-0.54398
0.6999,3.6754,27.0538,-0.49324
0.7155,3.5768,27.1536,-0.43294
0.7267,3.4776,27.2534,-0.37244
0.7343,3.3781,27.3533,-0.29841
0.7389,3.2783,27.4531,-0.22568
0.7413,3.1785,27.553,-0.16199
0.7421,3.0787,27.6528,-0.10955
0.7417,2.9788,27.7526,-0.06687
